frame,energy_per_atom,REF_energy_per_atom,volume,lattice
165,,-697.480289922,628.212357798,7.638021 0 0 0 9.745351 0 0 -4.872676 8.439722
166,,-697.358182362,351.055803057,6.34617 0 0 0 8.75659 0 -3.173085 -4.378295 6.31727
167,,-697.323884,234.887020495,4.756288 -0.154005 0 -2.176138 5.326733 0 0 0 9.395353
168,,-697.579638099,256.162419059,6.382691 -0.051895 -0.046625 0.710785 6.343203 -0.046625 0.710785 0.630405 6.311972
169,,-697.559387295,286.568919291,4.641241 0 0 0 7.915389 0.315441 0 -1.723988 7.731801
170,,-697.169023227,167.104160119,6.198435 0 0 0 6.198435 0 -3.099217 -3.099217 4.349338
171,,-697.163089497,304.618672694,5.955514 1e-06 1e-06 2.977756 7.253926 0.753558 2.977756 1.264223 7.18255
172,,-697.476238155,194.138017248,4.42634 0 0 -2.21317 3.833323 0 0 0 11.441696
173,,-697.466168887,380.988160176,7.253118 -0.578543 0 -2.882831 6.680698 0 0 0 8.142852
174,,-697.521701559,274.973081111,6.405002 0 0 0 6.244535 0.469975 0 -2.7061 6.671304
175,,-697.498418278,281.697903784,5.907978 0 0 0 7.420054 0 0 -3.710027 6.425955
176,,-697.428400177,195.746012247,5.947603 -0.340444 -0.382459 -0.956085 5.880118 -0.382459 -0.956085 -1.06108 5.79622
177,,-697.345429927,246.619794231,4.307889 0 0 2.153944 7.682252 0.857715 2.153944 1.378958 7.605994
178,,-697.488684089,278.610994231,4.500802 -0.348721 0.025175 -1.954008 4.063037 0.248315 -0.162327 -1.060955 15.753149
179,,-697.477315032,262.43778874,3.521787 -0.120063 -0.119737 -0.208902 8.639965 0.072506 -0.208902 0.095998 8.639736
180,,-697.352407218,214.25423245,6.204562 -0.257543 -0.314598 -1.277224 6.077139 -0.314598 -1.277224 -1.508508 5.895336
181,,-697.620265387,300.08685013,7.414736 0.337495 0 -3.262356 5.816028 0 0 0 6.785405
182,,-697.532782046,382.790490467,3.249269 0 0.179372 0 9.977051 0 -0.470868 0 11.781923
183,,-697.306989625,215.974174098,5.99705 0.142034 0.152317 -0.249471 5.993543 0.152317 -0.249471 -0.266312 5.98956
184,,-697.227732938,316.621151214,5.533663 0.003801 0 -0.057455 5.595445 0 0 0 10.225617
185,,-697.532918968,223.709073287,6.490052 0 0 -3.245026 5.62055 0 0 0 6.132769
186,,-697.621180033,420.711741837,8.95055 0 0 -4.475275 7.751404 0 0 0 6.063935
187,,-697.592809558,268.834097454,3.403138 0 0 0 8.890185 0 0 0 8.885748
188,,-697.565013339,493.263344498,7.363714 0 0 0 7.363714 0 -3.681857 -3.681857 9.096724
189,,-697.414740598,363.244613756,4.846916 0 0 0 4.846916 0 0 0 15.46209
190,,-697.561251322,573.659339895,6.000185 0 0 -3.000093 5.196313 0 0 0 18.398996
191,,-697.539601785,292.339246001,3.828747 0.075031 0.032528 -0.038769 9.320396 -0.224108 1.779611 0.80106 8.188173
192,,-697.530047414,197.522635151,3.52453 0 0 0 5.714665 0 0 0 9.806745
193,,-697.559702179,259.130223044,6.414628 -0.060644 0.66929 -3.05705 6.310199 -0.200846 -0.956076 -2.30623 6.287983
194,,-697.495838745,267.709665547,3.526848 -0.009983 0.004636 -0.076237 8.944062 -0.234122 1.557805 0.686723 8.47094
195,,-697.311330576,217.891870492,6.488224 -0.167392 -0.247133 -1.916905 6.20085 -0.247133 -1.916905 -2.530028 5.66662
