frame,atom,fx,fy,fz,REF_fx,REF_fy,REF_fz
23,7,0.06051816,0.35737387,-0.30243897,0.12867,0.32528,-0.19451
23,8,0.06051622,-0.44059729,-0.15827457,0.12849,-0.33145,-0.18487
23,9,0.09986366,0.09154318,-0.06895258,-0.01122,-0.0603,-0.02515
23,10,0.09985403,-0.10549045,-0.04480824,-0.01035,0.00809,0.06452
23,11,0.09984558,0.01394102,0.11375934,-0.01075,0.05208,-0.03929
23,12,0.20422637,0.03123536,0.20382702,0.25916,0.14054,0.11515
23,13,0.20423379,0.16091071,-0.12895153,0.25889,0.02884,-0.17912
23,14,0.20423205,-0.1921316,-0.07488094,0.25931,-0.1698,0.06505
23,15,-0.21517225,0.0370703,0.09815952,-0.21217,-0.04801,0.04905
23,16,-0.21516929,0.06644887,-0.08119197,-0.21321,0.06674,0.01641
23,17,-0.21517772,-0.1035522,-0.01695277,-0.2129,-0.01911,-0.06634
24,0,-0.18204567,-0.06581939,0.13229155,-0.14434,-0.0311,0.10213
24,1,-0.05380303,0.14494318,-0.17627643,-0.02163,0.11207,-0.1386
24,2,0.14814012,-0.17274803,-0.05642681,0.11321,-0.13725,-0.0239
24,3,-0.15163147,0.11486361,0.06157655,-0.17646,0.12248,0.08442
24,4,0.12451003,0.07146032,-0.1391683,0.13373,0.09596,-0.1618
24,5,0.06319643,-0.14782255,0.11888199,0.08705,-0.17116,0.12808
24,6,-0.06492189,-0.06930209,-0.0743138,-0.07429,-0.0793,-0.08502
24,7,0.11655548,0.12442495,0.13343525,0.08273,0.08831,0.0947
25,0,-0.08967025,-0.03789594,-0.07398395,-0.20286,-0.04632,-0.05839
25,1,0.07765172,-0.05870613,-0.07398627,0.11638,-0.16164,-0.0587
25,2,0.01201337,0.09660484,-0.07398383,0.08413,0.20269,-0.05852
25,3,0.07550623,-0.02612926,0.09476811,0.20518,-0.00814,0.15954
25,4,-0.01513363,0.07844856,0.09476797,-0.08307,0.1896,0.15816
25,5,-0.06037128,-0.0523192,0.09476867,-0.12215,-0.18337,0.15698
25,6,0.04215128,0.10069587,-0.26458689,0.02921,0.13871,-0.17799
25,7,-0.10827974,-0.01384516,-0.26458815,-0.12984,-0.04638,-0.18088
25,8,0.06613061,-0.08685188,-0.26458691,0.09896,-0.09373,-0.1801
25,9,-0.10770357,-0.02324678,0.20136356,-0.13393,-0.0324,0.12481
25,10,0.07398492,-0.0816532,0.20136064,0.0939,-0.09803,0.12339
25,11,0.03372161,0.10489794,0.20136478,0.04252,0.13476,0.11492
25,12,0.00746517,0.11353261,-0.06610744,0.05178,0.15057,-0.12983
25,13,-0.10205502,-0.05030146,-0.06610495,-0.14815,-0.04026,-0.13745
25,14,0.09458967,-0.0632317,-0.06610499,0.09492,-0.11081,-0.13499
25,15,-0.11668112,0.00777723,0.10854628,-0.14544,-0.01228,0.09413
25,16,0.05160482,-0.10493709,0.10854715,0.08088,-0.12623,0.09503
25,17,0.0650752,0.09716076,0.10854621,0.0676,0.14328,0.08991
26,0,-0.01207631,0.00963009,0.02888252,-0.10597,-0.03534,0.01008
26,1,0.01439359,0.00564272,0.02888127,0.01704,0.10812,0.00823
26,2,-0.00231124,-0.01528312,0.02887722,0.06987,-0.06286,0.01042
26,3,0.02906663,0.01195179,-0.00717116,0.02863,-0.09545,-0.00663
26,4,-0.00417851,-0.03114642,-0.00717205,-0.08041,0.01623,-0.00797
26,5,-0.02489215,0.01920824,-0.0071625,0.07097,0.06765,-0.00673
26,6,0.01844434,0.00873323,-0.08795363,0.01186,0.02138,0.12353
26,7,-0.00165807,-0.02034172,-0.08792864,0.01488,-0.02243,0.1418
26,8,-0.01678829,0.01160539,-0.08791916,-0.02469,0.00138,0.12818
26,9,-0.01590498,0.04302331,0.06623997,0.00367,0.03526,-0.12589
26,10,0.04521424,-0.0077385,0.06621076,0.03002,-0.02094,-0.13054
26,11,-0.02930924,-0.03528502,0.0662154,-0.03586,-0.013,-0.14449
27,0,-0.02757815,-0.00427394,-0.01865371,-0.11021,-0.0436,-0.01052
27,1,0.01009861,0.02600376,-0.01864312,0.01374,0.11681,-0.01474
27,2,0.01748498,-0.02174654,-0.01864705,0.07991,-0.065,-0.0115
27,3,-0.00341004,-0.03233219,0.01235234,0.00484,-0.12294,0.00746
27,4,-0.02631222,0.01912465,0.01234886,-0.09515,0.0508,0.00881
27,5,0.0297087,0.01322876,0.01234397,0.10562,0.06214,0.01257
27,6,-0.02133993,0.00128428,-0.12102793,-0.01142,0.00959,0.11275
27,7,0.01178765,0.01784156,-0.12101588,0.01415,0.00609,0.12261
27,8,0.00955707,-0.01912746,-0.1210482,-0.00178,-0.01548,0.12039
27,9,0.01042228,-0.01806639,0.12731559,0.01123,-0.00216,-0.11027
27,10,-0.02085249,5.48e-06,0.12732646,-0.00847,-0.00759,-0.11771
27,11,0.01043356,0.01805802,0.12734866,-0.00245,0.01135,-0.11986
28,0,-1.599e-05,0.00095252,-0.21138463,-1e-05,0.00063,-0.3012
28,1,-1.599e-05,-0.00095252,0.21138463,-2e-05,-0.00064,0.30119
28,2,-1.687e-05,0.00095247,0.21141572,-2e-05,0.00067,0.30111
28,3,-1.687e-05,-0.00095247,-0.21141572,-2e-05,-0.00068,-0.30112
28,4,1.669e-05,-0.22415473,0.00136774,2e-05,-0.37538,0.002
28,5,1.669e-05,0.22415473,-0.00136774,2e-05,0.3754,-0.00206
28,6,1.617e-05,-0.22415388,-0.00136769,1e-05,-0.37538,-0.00204
28,7,1.617e-05,0.22415388,0.00136769,2e-05,0.37539,0.00211
29,0,-0.0092095,0.17176427,-0.00066054,0.00341,0.22409,-0.00348
29,1,0.0092095,-0.17176427,-0.00066054,-0.00344,-0.22407,-0.0018
29,2,0.00920957,0.17176631,-0.00066094,-0.00347,0.22407,-0.00178
29,3,-0.00920957,-0.17176631,-0.00066094,0.00344,-0.22409,-0.00346
29,4,0.01156186,-0.11786284,-0.00194164,-0.00173,-0.22722,-0.0018
29,5,-0.01156186,0.11786284,-0.00194164,0.00174,0.22728,-0.00354
29,6,-0.01156192,-0.11786474,-0.0019415,0.00172,-0.22728,-0.00354
29,7,0.01156192,0.11786474,-0.0019415,-0.00173,0.22722,-0.00181
29,8,-0.01105503,-0.17793446,0.00260254,0.00297,-0.21948,0.00447
